index,Notice Type,Posted Date/Time,Notice Effective Date/Time,Notice End Date/Time,Notice Identifier,Subject,Response Date/Time,unit
79,Capacity Constraint,09/01/2022 07:31:24 AM,09/01/2022 09:00:00 AM,09/02/2022 09:00:00 AM,124544,ETNG Pipeline Conditions for 9/1/2022 -- CORRECTED,,ET
80,Capacity Constraint,08/31/2022 02:45:16 PM,09/01/2022 09:00:00 AM,09/02/2022 09:00:00 AM,124518,ETNG Pipeline Conditions for 9/1/2022,,ET
81,Capacity Constraint,08/30/2022 02:16:57 PM,08/31/2022 09:00:00 AM,09/01/2022 09:00:00 AM,124486,ETNG Pipeline Conditions for 8/31/2022,,ET
82,Operational Flow Order,08/30/2022 06:56:30 AM,09/01/2022 09:00:00 AM,11/28/2022 09:00:00 AM,124476,ETNG Operational Flow Order - EFF 9/1/22,,ET
83,Operational Flow Order,08/30/2022 06:56:00 AM,09/01/2022 09:00:00 AM,11/28/2022 09:00:00 AM,124475,ETNG Operational Flow Order -- LIFTED,,ET
84,Capacity Constraint,08/29/2022 02:30:18 PM,08/30/2022 09:00:00 AM,08/31/2022 09:00:00 AM,124452,ETNG Pipeline Conditions for 8/30/2022,,ET
85,Capacity Constraint,08/28/2022 03:23:16 PM,08/29/2022 09:00:00 AM,08/30/2022 09:00:00 AM,124415,ETNG Pipeline Conditions for 8/29/2022,,ET
86,Capacity Constraint,08/27/2022 03:29:10 PM,08/28/2022 09:00:00 AM,08/29/2022 09:00:00 AM,124388,ETNG Pipeline Conditions for 8/28/2022,,ET
87,Capacity Constraint,08/26/2022 03:00:00 PM,08/27/2022 09:00:00 AM,08/28/2022 09:00:00 AM,124345,ETNG Pipeline Conditions for 8/27/2022,,ET
88,Capacity Constraint,08/25/2022 02:20:20 PM,08/26/2022 09:00:00 AM,08/27/2022 09:00:00 AM,124313,ETNG Pipeline Conditions for 8/26/2022,,ET
89,Capacity Constraint,08/24/2022 02:27:51 PM,08/25/2022 09:00:00 AM,08/26/2022 09:00:00 AM,124272,ETNG Pipeline Conditions for 8/25/2022,,ET
90,Capacity Constraint,08/23/2022 02:30:00 PM,08/24/2022 09:00:00 AM,08/25/2022 09:00:00 AM,124248,ETNG Pipeline Conditions for 8/24/2022,,ET
91,Capacity Constraint,08/22/2022 02:38:43 PM,08/23/2022 09:00:00 AM,08/24/2022 09:00:00 AM,124210,ETNG Pipeline Conditions for 8/23/2022,,ET
92,Capacity Constraint,08/21/2022 02:46:49 PM,08/22/2022 09:00:00 AM,08/23/2022 09:00:00 AM,124181,ETNG Pipeline Conditions for 8/22/2022,,ET
93,Capacity Constraint,08/20/2022 03:05:02 PM,08/21/2022 09:00:00 AM,08/22/2022 09:00:00 AM,124154,ETNG Pipeline Conditions for 8/21/2022,,ET
94,Capacity Constraint,08/19/2022 03:28:00 PM,08/20/2022 09:00:00 AM,08/21/2022 09:00:00 AM,124142,ETNG Pipeline Conditions for 8/20/2022,,ET
95,Capacity Constraint,08/18/2022 02:24:25 PM,08/19/2022 09:00:00 AM,08/20/2022 09:00:00 AM,124094,ETNG Pipeline Conditions for 8/19/2022,,ET
96,Operational Flow Order,08/18/2022 08:45:00 AM,08/18/2022 09:00:00 AM,11/16/2022 08:43:43 AM,124081,ETNG Operational Flow Order EFF 8/18/22,,ET
97,Operational Flow Order,08/18/2022 08:40:25 AM,08/18/2022 09:00:00 AM,11/16/2022 08:40:25 AM,124080,ETNG OFO -- LIFTED,,ET
98,Computer System Status,08/18/2022 07:14:34 AM,08/18/2022 07:14:34 AM,11/16/2022 07:14:34 AM,124060,LINK System Maintenance the weekend of September 16th,,ET
99,Capacity Constraint,08/17/2022 02:35:09 PM,08/18/2022 09:00:00 AM,08/19/2022 09:00:00 AM,124032,ETNG Pipeline Conditions for 8/18/2022,,ET
100,Capacity Constraint,08/16/2022 02:51:00 PM,08/17/2022 09:00:00 AM,08/18/2022 09:00:00 AM,123962,ETNG Pipeline Conditions for 8/17/2022,,ET
101,Capacity Constraint,08/15/2022 02:33:08 PM,08/16/2022 09:00:00 AM,08/17/2022 09:00:00 AM,123932,ETNG Pipeline Conditions for 8/16/2022,,ET
102,Capacity Constraint,08/14/2022 03:01:33 PM,08/15/2022 09:00:00 AM,08/16/2022 09:00:00 AM,123909,ETNG Pipeline Conditions for 8/15/2022,,ET
103,Capacity Constraint,08/13/2022 03:00:59 PM,08/14/2022 09:00:00 AM,08/15/2022 09:00:00 AM,123882,ETNG Pipeline Conditions for 8/14/2022,,ET
104,Capacity Constraint,08/12/2022 03:23:31 PM,08/13/2022 09:00:00 AM,08/14/2022 09:00:00 AM,123862,ETNG Pipeline Conditions for 8/13/2022,,ET
105,Capacity Constraint,08/11/2022 02:59:07 PM,08/12/2022 09:00:00 AM,08/13/2022 09:00:00 AM,123816,ETNG Pipeline Conditions for 8/12/2022,,ET
106,Capacity Constraint,08/10/2022 03:21:00 PM,08/11/2022 09:00:00 AM,08/12/2022 09:00:00 AM,123789,ETNG Pipeline Conditions for 8/11/2022,,ET
107,Capacity Constraint,08/09/2022 03:20:00 PM,08/10/2022 09:00:00 AM,08/11/2022 09:00:00 AM,123743,ETNG Pipeline Conditions for 8/10/2022,,ET
108,Capacity Constraint,08/08/2022 03:02:17 PM,08/09/2022 09:00:00 AM,08/10/2022 09:00:00 AM,123703,ETNG Pipeline Conditions for 8/9/2022,,ET
109,Capacity Constraint,08/07/2022 03:11:03 PM,08/08/2022 09:00:00 AM,08/09/2022 09:00:00 AM,123683,ETNG Pipeline Conditions for 8/8/2022,,ET
110,Capacity Constraint,08/06/2022 03:44:33 PM,08/07/2022 09:00:00 AM,08/08/2022 09:00:00 AM,123655,ETNG Pipeline Conditions for 8/7/2022,,ET
111,Capacity Constraint,08/05/2022 03:12:00 PM,08/06/2022 09:00:00 AM,08/07/2022 09:00:00 AM,123619,ETNG Pipeline Conditions for 8/6/2022,,ET
112,Capacity Constraint,08/04/2022 03:06:00 PM,08/05/2022 09:00:00 AM,08/06/2022 09:00:00 AM,123594,ETNG Pipeline Conditions for 8/5/2022,,ET
113,Capacity Constraint,08/03/2022 04:01:00 PM,08/04/2022 09:00:00 AM,08/05/2022 09:00:00 AM,123564,ETNG Pipeline Conditions for 8/4/2022,,ET
0,Computer System Status,10/14/2022 10:04:50 AM,10/14/2022 10:30:00 PM,10/17/2022 02:30:00 AM,126209,Reminder: LINK System Maintenance this weekend (October 14 to October 17),,GB
1,Computer System Status,10/06/2022 02:28:06 PM,10/14/2022 10:30:00 PM,10/17/2022 02:30:00 AM,125872,LINK System Maintenance the weekend of October 14th,,GB
2,Computer System Status,10/04/2022 07:49:45 AM,10/05/2022 05:00:00 AM,10/05/2022 10:00:00 AM,125771,"Reminder - Application Maintenance on Wednesday October 5, 2022",,GB
3,Computer System Status,09/27/2022 01:36:32 PM,09/27/2022 01:36:32 PM,12/26/2022 01:36:32 PM,125499,"LINK Application Maintenance Postponed until October 5, 2022",,GB
4,Computer System Status,09/26/2022 03:38:32 PM,09/26/2022 03:38:32 PM,12/25/2022 03:38:32 PM,125471,"Reminder about Application Maintenance on Wednesday September 28, 2022",,GB
5,Computer System Status,09/12/2022 07:11:29 AM,09/12/2022 07:11:29 AM,12/11/2022 07:11:29 AM,124937,"Changes to LINK System Maintenance for the week of September 12, 2022",,GB
6,Computer System Status,09/01/2022 08:45:25 AM,09/01/2022 08:45:25 AM,11/30/2022 08:45:25 AM,124556,Application Maintenance on September 14,,GB
7,Computer System Status,08/18/2022 07:14:34 AM,08/18/2022 07:14:34 AM,11/16/2022 07:14:34 AM,124061,LINK System Maintenance the weekend of September 16th,,GB
0,Computer System Status,10/14/2022 10:04:50 AM,10/14/2022 10:30:00 PM,10/17/2022 02:30:00 AM,126210,Reminder: LINK System Maintenance this weekend (October 14 to October 17),,GPL
1,Computer System Status,10/06/2022 02:28:06 PM,10/14/2022 10:30:00 PM,10/17/2022 02:30:00 AM,125873,LINK System Maintenance the weekend of October 14th,,GPL
2,Computer System Status,10/04/2022 07:49:45 AM,10/05/2022 05:00:00 AM,10/05/2022 10:00:00 AM,125772,"Reminder - Application Maintenance on Wednesday October 5, 2022",,GPL
3,Computer System Status,09/27/2022 01:36:32 PM,09/27/2022 01:36:32 PM,12/26/2022 01:36:32 PM,125500,"LINK Application Maintenance Postponed until October 5, 2022",,GPL
4,Computer System Status,09/26/2022 03:38:32 PM,09/26/2022 03:38:32 PM,12/25/2022 03:38:32 PM,125472,"Reminder about Application Maintenance on Wednesday September 28, 2022",,GPL
5,Capacity Constraint,09/18/2022 03:05:49 PM,09/19/2022 09:00:00 AM,09/20/2022 09:00:00 AM,125189,GPL Pipeline Conditions for 9/19/2022,,GPL
6,Computer System Status,09/12/2022 07:11:29 AM,09/12/2022 07:11:29 AM,12/11/2022 07:11:29 AM,124938,"Changes to LINK System Maintenance for the week of September 12, 2022",,GPL
7,Computer System Status,09/01/2022 08:45:25 AM,09/01/2022 08:45:25 AM,11/30/2022 08:45:25 AM,124557,Application Maintenance on September 14,,GPL
8,Computer System Status,08/18/2022 07:14:34 AM,08/18/2022 07:14:34 AM,11/16/2022 07:14:34 AM,124062,LINK System Maintenance the weekend of September 16th,,GPL
0,Computer System Status,10/14/2022 10:04:50 AM,10/14/2022 10:30:00 PM,10/17/2022 02:30:00 AM,126212,Reminder: LINK System Maintenance this weekend (October 14 to October 17),,MCGP
1,Computer System Status,10/06/2022 02:28:06 PM,10/14/2022 10:30:00 PM,10/17/2022 02:30:00 AM,125875,LINK System Maintenance the weekend of October 14th,,MCGP
2,Computer System Status,10/04/2022 07:49:45 AM,10/05/2022 05:00:00 AM,10/05/2022 10:00:00 AM,125774,"Reminder - Application Maintenance on Wednesday October 5, 2022",,MCGP
3,Computer System Status,09/27/2022 01:36:32 PM,09/27/2022 01:36:32 PM,12/26/2022 01:36:32 PM,125502,"LINK Application Maintenance Postponed until October 5, 2022",,MCGP
4,Computer System Status,09/26/2022 03:38:32 PM,09/26/2022 03:38:32 PM,12/25/2022 03:38:32 PM,125474,"Reminder about Application Maintenance on Wednesday September 28, 2022",,MCGP
5,Computer System Status,09/12/2022 07:11:29 AM,09/12/2022 07:11:29 AM,12/11/2022 07:11:29 AM,124940,"Changes to LINK System Maintenance for the week of September 12, 2022",,MCGP
6,Computer System Status,09/01/2022 08:45:25 AM,09/01/2022 08:45:25 AM,11/30/2022 08:45:25 AM,124559,Application Maintenance on September 14,,MCGP
7,Computer System Status,08/18/2022 07:14:34 AM,08/18/2022 07:14:34 AM,11/16/2022 07:14:34 AM,124064,LINK System Maintenance the weekend of September 16th,,MCGP
0,Capacity Constraint,10/31/2022 04:04:00 PM,11/01/2022 09:00:00 AM,11/02/2022 09:00:00 AM,126912,Moss Bluff Storage Conditions for 11/1/2022,,MB
1,Capacity Constraint,10/30/2022 02:58:16 PM,10/31/2022 09:00:00 AM,11/01/2022 09:00:00 AM,126860,Moss Bluff Storage Conditions for 10/31/2022,,MB
2,Capacity Constraint,10/29/2022 03:03:26 PM,10/30/2022 09:00:00 AM,10/31/2022 09:00:00 AM,126821,Moss Bluff Storage Conditions for 10/30/2022,,MB
3,Capacity Constraint,10/28/2022 03:29:00 PM,10/29/2022 09:00:00 AM,10/30/2022 09:00:00 AM,126808,Moss Bluff Storage Conditions for 10/29/2022,,MB
4,Capacity Constraint,10/27/2022 03:26:00 PM,10/28/2022 09:00:00 AM,10/29/2022 09:00:00 AM,126766,Moss Bluff Storage Conditions for 10/28/2022,,MB
5,Capacity Constraint,10/26/2022 02:31:36 PM,10/27/2022 09:00:00 AM,10/28/2022 09:00:00 AM,126705,Moss Bluff Storage Conditions for 10/27/2022,,MB
6,Capacity Constraint,10/25/2022 04:05:00 PM,10/26/2022 09:00:00 AM,10/27/2022 09:00:00 AM,126672,Moss Bluff Storage Conditions for 10/26/2022,,MB
7,Capacity Constraint,10/24/2022 04:17:00 PM,10/25/2022 09:00:00 AM,10/26/2022 09:00:00 AM,126636,Moss Bluff Storage Conditions for 10/25/2022,,MB
8,Capacity Constraint,10/23/2022 03:25:25 PM,10/24/2022 09:00:00 AM,10/25/2022 09:00:00 AM,126583,Moss Bluff Storage Conditions for 10/24/2022,,MB
9,Capacity Constraint,10/22/2022 02:46:50 PM,10/23/2022 09:00:00 AM,10/24/2022 09:00:00 AM,126538,Moss Bluff Storage Conditions for 10/23/2022,,MB
10,Capacity Constraint,10/21/2022 03:20:40 PM,10/22/2022 09:00:00 AM,10/23/2022 09:00:00 AM,126512,Moss Bluff Storage Conditions for 10/22/2022,,MB
11,Capacity Constraint,10/20/2022 04:14:08 PM,10/21/2022 09:00:00 AM,10/22/2022 09:00:00 AM,126480,Moss Bluff Storage Conditions for 10/21/2022,,MB
12,Capacity Constraint,10/19/2022 03:25:16 PM,10/20/2022 09:00:00 AM,10/21/2022 09:00:00 AM,126437,Moss Bluff Storage Conditions for 10/20/2022,,MB
13,Capacity Constraint,10/18/2022 03:05:59 PM,10/19/2022 09:00:00 AM,10/20/2022 09:00:00 AM,126401,Moss Bluff Storage Conditions for 10/19/2022,,MB
14,Capacity Constraint,10/17/2022 03:24:00 PM,10/18/2022 09:00:00 AM,10/19/2022 09:00:00 AM,126346,Moss Bluff Storage Conditions for 10/18/2022,,MB
15,Capacity Constraint,10/16/2022 02:59:07 PM,10/17/2022 09:00:00 AM,10/18/2022 09:00:00 AM,126297,Moss Bluff Storage Conditions for 10/17/2022,,MB
16,Capacity Constraint,10/15/2022 02:45:45 PM,10/16/2022 09:00:00 AM,10/17/2022 09:00:00 AM,126270,Moss Bluff Storage Conditions for 10/16/2022,,MB
17,Capacity Constraint,10/14/2022 03:39:00 PM,10/15/2022 09:00:00 AM,10/16/2022 09:00:00 AM,126253,Moss Bluff Storage Conditions for 10/15/2022,,MB
18,Computer System Status,10/14/2022 10:04:50 AM,10/14/2022 10:30:00 PM,10/17/2022 02:30:00 AM,126211,Reminder: LINK System Maintenance this weekend (October 14 to October 17),,MB
19,Capacity Constraint,10/13/2022 03:00:00 PM,10/14/2022 09:00:00 AM,10/15/2022 09:00:00 AM,126184,Moss Bluff Storage Conditions for 10/14/2022,,MB
20,Capacity Constraint,10/12/2022 03:26:40 PM,10/13/2022 09:00:00 AM,10/14/2022 09:00:00 AM,126159,Moss Bluff Storage Conditions for 10/13/2022,,MB
21,Capacity Constraint,10/11/2022 03:06:58 PM,10/12/2022 09:00:00 AM,10/13/2022 09:00:00 AM,126115,Moss Bluff Storage Conditions for 10/12/2022,,MB
22,Capacity Constraint,10/10/2022 03:35:42 PM,10/11/2022 09:00:00 AM,10/12/2022 09:00:00 AM,126058,Moss Bluff Storage Conditions for 10/11/2022,,MB
23,Capacity Constraint,10/09/2022 03:33:04 PM,10/10/2022 09:00:00 AM,10/11/2022 09:00:00 AM,126003,Moss Bluff Storage Conditions for 10/10/2022,,MB
24,Capacity Constraint,10/09/2022 01:10:00 PM,10/11/2022 09:00:00 AM,01/07/2023 09:00:00 AM,125984,Moss Bluff Operational Advisory,,MB
25,Capacity Constraint,10/08/2022 03:15:25 PM,10/09/2022 09:00:00 AM,10/10/2022 09:00:00 AM,125974,Moss Bluff Storage Conditions for 10/9/2022,,MB
26,Capacity Constraint,10/07/2022 06:13:39 PM,10/07/2022 06:13:39 PM,10/08/2022 09:00:00 AM,125950,Moss Bluff Storage Conditions for 10/7/2022 -- INTRADAY,,MB
27,Capacity Constraint,10/07/2022 03:45:38 PM,10/08/2022 09:00:00 AM,10/09/2022 09:00:00 AM,125943,Moss Bluff Storage Conditions for 10/8/2022,,MB
28,Computer System Status,10/06/2022 02:28:06 PM,10/14/2022 10:30:00 PM,10/17/2022 02:30:00 AM,125874,LINK System Maintenance the weekend of October 14th,,MB
29,Capacity Constraint,10/04/2022 03:14:52 PM,10/05/2022 09:00:00 AM,10/06/2022 09:00:00 AM,125811,Moss Bluff Storage Conditions for 10/5/2022,,MB
30,Computer System Status,10/04/2022 07:49:45 AM,10/05/2022 05:00:00 AM,10/05/2022 10:00:00 AM,125773,"Reminder - Application Maintenance on Wednesday October 5, 2022",,MB
31,Capacity Constraint,10/03/2022 03:17:17 PM,10/04/2022 09:00:00 AM,10/05/2022 09:00:00 AM,125760,Moss Bluff Storage Conditions for 10/4/2022,,MB
32,Capacity Constraint,10/02/2022 03:02:13 PM,10/03/2022 09:00:00 AM,10/04/2022 09:00:00 AM,125702,Moss Bluff Storage Conditions for 10/3/2022,,MB
33,Capacity Constraint,10/01/2022 03:25:12 PM,10/02/2022 09:00:00 AM,10/03/2022 09:00:00 AM,125690,Moss Bluff Storage Conditions for 10/2/2022,,MB
34,Capacity Constraint,09/30/2022 03:49:37 PM,10/01/2022 09:00:00 AM,10/02/2022 09:00:00 AM,125657,Moss Bluff Storage Conditions for 10/1/2022,,MB
35,Computer System Status,09/27/2022 01:36:32 PM,09/27/2022 01:36:32 PM,12/26/2022 01:36:32 PM,125501,"LINK Application Maintenance Postponed until October 5, 2022",,MB
36,Computer System Status,09/26/2022 03:38:32 PM,09/26/2022 03:38:32 PM,12/25/2022 03:38:32 PM,125473,"Reminder about Application Maintenance on Wednesday September 28, 2022",,MB
37,Computer System Status,09/12/2022 07:11:29 AM,09/12/2022 07:11:29 AM,12/11/2022 07:11:29 AM,124939,"Changes to LINK System Maintenance for the week of September 12, 2022",,MB
38,Computer System Status,09/01/2022 08:45:25 AM,09/01/2022 08:45:25 AM,11/30/2022 08:45:25 AM,124558,Application Maintenance on September 14,,MB
39,Computer System Status,08/23/2022 08:25:51 AM,08/23/2022 08:25:51 AM,11/21/2022 08:25:51 AM,124232,Implementation of Texas Railroad Commission Curtailment Rule,,MB
40,Computer System Status,08/18/2022 07:14:34 AM,08/18/2022 07:14:34 AM,11/16/2022 07:14:34 AM,124063,LINK System Maintenance the weekend of September 16th,,MB
0,Computer System Status,10/14/2022 10:04:50 AM,10/14/2022 10:30:00 PM,10/17/2022 02:30:00 AM,126213,Reminder: LINK System Maintenance this weekend (October 14 to October 17),,MNCA
1,Computer System Status,10/06/2022 02:28:06 PM,10/14/2022 10:30:00 PM,10/17/2022 02:30:00 AM,125876,LINK System Maintenance the weekend of October 14th,,MNCA
2,Computer System Status,10/04/2022 07:49:45 AM,10/05/2022 05:00:00 AM,10/05/2022 10:00:00 AM,125775,"Reminder - Application Maintenance on Wednesday October 5, 2022",,MNCA
3,Computer System Status,09/27/2022 01:36:32 PM,09/27/2022 01:36:32 PM,12/26/2022 01:36:32 PM,125503,"LINK Application Maintenance Postponed until October 5, 2022",,MNCA
4,Computer System Status,09/26/2022 03:38:32 PM,09/26/2022 03:38:32 PM,12/25/2022 03:38:32 PM,125475,"Reminder about Application Maintenance on Wednesday September 28, 2022",,MNCA
5,Computer System Status,09/12/2022 07:11:29 AM,09/12/2022 07:11:29 AM,12/11/2022 07:11:29 AM,124941,"Changes to LINK System Maintenance for the week of September 12, 2022",,MNCA
6,Computer System Status,09/01/2022 08:45:25 AM,09/01/2022 08:45:25 AM,11/30/2022 08:45:25 AM,124560,Application Maintenance on September 14,,MNCA
7,Computer System Status,08/18/2022 07:14:34 AM,08/18/2022 07:14:34 AM,11/16/2022 07:14:34 AM,124065,LINK System Maintenance the weekend of September 16th,,MNCA
0,Computer System Status,10/14/2022 10:04:50 AM,10/14/2022 10:30:00 PM,10/17/2022 02:30:00 AM,126214,Reminder: LINK System Maintenance this weekend (October 14 to October 17),,MNUS
1,Computer System Status,10/06/2022 02:28:06 PM,10/14/2022 10:30:00 PM,10/17/2022 02:30:00 AM,125877,LINK System Maintenance the weekend of October 14th,,MNUS
2,Computer System Status,10/04/2022 07:49:45 AM,10/05/2022 05:00:00 AM,10/05/2022 10:00:00 AM,125776,"Reminder - Application Maintenance on Wednesday October 5, 2022",,MNUS
3,Computer System Status,09/27/2022 01:36:32 PM,09/27/2022 01:36:32 PM,12/26/2022 01:36:32 PM,125504,"LINK Application Maintenance Postponed until October 5, 2022",,MNUS
4,Computer System Status,09/26/2022 03:38:32 PM,09/26/2022 03:38:32 PM,12/25/2022 03:38:32 PM,125476,"Reminder about Application Maintenance on Wednesday September 28, 2022",,MNUS
5,Computer System Status,09/12/2022 07:11:29 AM,09/12/2022 07:11:29 AM,12/11/2022 07:11:29 AM,124942,"Changes to LINK System Maintenance for the week of September 12, 2022",,MNUS
6,Computer System Status,09/01/2022 08:45:25 AM,09/01/2022 08:45:25 AM,11/30/2022 08:45:25 AM,124561,Application Maintenance on September 14,,MNUS
7,Computer System Status,08/18/2022 07:14:34 AM,08/18/2022 07:14:34 AM,11/16/2022 07:14:34 AM,124066,LINK System Maintenance the weekend of September 16th,,MNUS
0,Maintenance,10/24/2022 01:14:51 PM,10/24/2022 01:14:51 PM,01/22/2023 01:14:51 PM,126602,Generator Maintenance at Ship Shoal 207 - Revised Dates,,NPC
1,Maintenance,10/19/2022 08:45:01 AM,10/19/2022 08:45:01 AM,01/17/2023 08:45:01 AM,126411,Generator Maintenance at Ship Shoal 207,,NPC
2,Computer System Status,10/14/2022 10:04:50 AM,10/14/2022 10:30:00 PM,10/17/2022 02:30:00 AM,126215,Reminder: LINK System Maintenance this weekend (October 14 to October 17),,NPC
3,Computer System Status,10/06/2022 02:28:06 PM,10/14/2022 10:30:00 PM,10/17/2022 02:30:00 AM,125878,LINK System Maintenance the weekend of October 14th,,NPC
4,Computer System Status,10/04/2022 07:49:45 AM,10/05/2022 05:00:00 AM,10/05/2022 10:00:00 AM,125777,"Reminder - Application Maintenance on Wednesday October 5, 2022",,NPC
5,Computer System Status,09/27/2022 01:36:32 PM,09/27/2022 01:36:32 PM,12/26/2022 01:36:32 PM,125505,"LINK Application Maintenance Postponed until October 5, 2022",,NPC
6,Computer System Status,09/26/2022 03:38:32 PM,09/26/2022 03:38:32 PM,12/25/2022 03:38:32 PM,125477,"Reminder about Application Maintenance on Wednesday September 28, 2022",,NPC
7,PTR Percentage,09/20/2022 08:41:23 AM,09/20/2022 08:41:23 AM,12/19/2022 08:41:23 AM,125244,Nautilus Pipeline - REVISED September 2022 PTR Percentages,,NPC
8,Capacity Constraint,09/12/2022 02:58:00 PM,09/13/2022 09:00:00 AM,09/14/2022 09:00:00 AM,124969,Nautilus Pipeline Conditions for 9/13/2022,,NPC
9,Computer System Status,09/12/2022 07:11:29 AM,09/12/2022 07:11:29 AM,12/11/2022 07:11:29 AM,124943,"Changes to LINK System Maintenance for the week of September 12, 2022",,NPC
10,Capacity Constraint,09/11/2022 03:08:46 PM,09/12/2022 09:00:00 AM,09/13/2022 09:00:00 AM,124923,Nautilus Pipeline Conditions for 9/12/2022,,NPC
11,Capacity Constraint,09/10/2022 01:50:34 PM,09/11/2022 09:00:00 AM,09/12/2022 09:00:00 AM,124876,Nautilus Pipeline Conditions for 9/11/2022,,NPC
12,Capacity Constraint,09/09/2022 03:24:00 PM,09/10/2022 09:00:00 AM,09/11/2022 09:00:00 AM,124869,Nautilus Pipeline Conditions for 9/10/2022,,NPC
13,Capacity Constraint,09/08/2022 02:25:34 PM,09/09/2022 09:00:00 AM,09/10/2022 09:00:00 AM,124801,Nautilus Pipeline Conditions for 9/9/2022,,NPC
14,Capacity Constraint,09/07/2022 02:06:00 PM,09/08/2022 09:00:00 AM,09/09/2022 09:00:00 AM,124762,Nautilus Pipeline Conditions for 9/8/2022,,NPC
15,Capacity Constraint,09/06/2022 02:24:52 PM,09/07/2022 09:00:00 AM,09/08/2022 09:00:00 AM,124733,NPC Pipeline Conditions for 9/7/2022,,NPC
16,Capacity Constraint,09/05/2022 03:02:20 PM,09/06/2022 09:00:00 AM,09/07/2022 09:00:00 AM,124705,NPC Pipeline Conditions for 9/6/2022,,NPC
17,Capacity Constraint,09/04/2022 02:48:34 PM,09/05/2022 09:00:00 AM,09/06/2022 09:00:00 AM,124676,NPC Pipeline Conditions for 9/5/2022,,NPC
18,Capacity Constraint,09/03/2022 02:58:56 PM,09/04/2022 09:00:00 AM,09/05/2022 02:58:56 PM,124651,NPC Pipeline Conditions for 9/4/2022,,NPC
19,Capacity Constraint,09/02/2022 04:07:49 PM,09/03/2022 09:00:00 AM,09/04/2022 09:00:00 AM,124636,NPC Pipeline Conditions for 9/3/2022,,NPC
20,Capacity Constraint,09/02/2022 04:04:59 PM,09/02/2022 04:04:59 PM,09/03/2022 09:00:00 AM,124634,NPC Pipeline Conditions for 9/2/2022 -- INTRADAY,,NPC
21,Computer System Status,09/01/2022 08:45:25 AM,09/01/2022 08:45:25 AM,11/30/2022 08:45:25 AM,124562,Application Maintenance on September 14,,NPC
22,PTR Percentage,08/25/2022 01:54:05 PM,08/25/2022 01:54:05 PM,11/23/2022 01:54:05 PM,124307,Nautilus Pipeline - REVISED August 2022 PTR Percentages,,NPC
23,Computer System Status,08/18/2022 07:14:34 AM,08/18/2022 07:14:34 AM,11/16/2022 07:14:34 AM,124067,LINK System Maintenance the weekend of September 16th,,NPC
0,Computer System Status,10/14/2022 10:04:50 AM,10/14/2022 10:30:00 PM,10/17/2022 02:30:00 AM,126216,Reminder: LINK System Maintenance this weekend (October 14 to October 17),,NXCA
1,Computer System Status,10/06/2022 02:28:06 PM,10/14/2022 10:30:00 PM,10/17/2022 02:30:00 AM,125879,LINK System Maintenance the weekend of October 14th,,NXCA
2,Computer System Status,10/04/2022 07:49:45 AM,10/05/2022 05:00:00 AM,10/05/2022 10:00:00 AM,125778,"Reminder - Application Maintenance on Wednesday October 5, 2022",,NXCA
3,Computer System Status,09/27/2022 01:36:32 PM,09/27/2022 01:36:32 PM,12/26/2022 01:36:32 PM,125506,"LINK Application Maintenance Postponed until October 5, 2022",,NXCA
4,Computer System Status,09/26/2022 03:38:32 PM,09/26/2022 03:38:32 PM,12/25/2022 03:38:32 PM,125478,"Reminder about Application Maintenance on Wednesday September 28, 2022",,NXCA
5,Computer System Status,09/12/2022 07:11:29 AM,09/12/2022 07:11:29 AM,12/11/2022 07:11:29 AM,124944,"Changes to LINK System Maintenance for the week of September 12, 2022",,NXCA
6,Computer System Status,09/01/2022 08:45:25 AM,09/01/2022 08:45:25 AM,11/30/2022 08:45:25 AM,124563,Application Maintenance on September 14,,NXCA
7,Computer System Status,08/18/2022 07:14:34 AM,08/18/2022 07:14:34 AM,11/16/2022 07:14:34 AM,124068,LINK System Maintenance the weekend of September 16th,,NXCA
0,Capacity Constraint,10/31/2022 03:46:00 PM,11/01/2022 09:00:00 AM,11/02/2022 09:00:00 AM,126905,NEXUS Pipeline Conditions for 11/1/2022,,NXUS
1,Capacity Constraint,10/30/2022 02:30:00 PM,10/31/2022 09:00:00 AM,11/01/2022 09:00:00 AM,126843,NEXUS Pipeline Conditions for 10/31/2022,,NXUS
2,Capacity Constraint,10/29/2022 02:30:00 PM,10/30/2022 09:00:00 AM,10/31/2022 09:00:00 AM,126813,NEXUS Pipeline Conditions for 10/30/2022,,NXUS
3,Capacity Constraint,10/28/2022 02:30:00 PM,10/29/2022 09:00:00 AM,10/30/2022 09:00:00 AM,126775,NEXUS Pipeline Conditions for 10/29/2022,,NXUS
4,Capacity Constraint,10/27/2022 03:03:00 PM,10/28/2022 09:00:00 AM,10/29/2022 09:00:00 AM,126752,NEXUS Pipeline Conditions for 10/28/2022,,NXUS
5,Capacity Constraint,10/26/2022 02:21:25 PM,10/27/2022 09:00:00 AM,10/28/2022 09:00:00 AM,126700,NEXUS Pipeline Conditions for 10/27/2022,,NXUS
6,Capacity Constraint,10/25/2022 03:30:00 PM,10/26/2022 09:00:00 AM,10/27/2022 09:00:00 AM,126667,NEXUS Pipeline Conditions for 10/26/2022,,NXUS
7,Capacity Constraint,10/24/2022 02:58:05 PM,10/25/2022 09:00:00 AM,10/26/2022 09:00:00 AM,126614,NEXUS Pipeline Conditions for 10/25/2022,,NXUS
